index,coordenadas_X,coordenadas_Y,demandas,maxDemand,minTW,maxTW
0,0.8928601514360016,0.28385938355769735,40,150,0,100000
1,0.3319798053011772,0.18954219037038056,20,150,0,100000
2,0.8212291230578318,0.471250964735315,55,150,0,100000
3,0.0416966257252499,0.3348060445026235,30,150,0,100000
4,0.10765667993596795,0.734735043713651,130,150,0,100000
5,0.5950520642062402,0.18910711553486437,20,150,0,100000
6,0.5298173621928216,0.33110407412108767,125,150,0,100000
7,0.4188074285566543,0.8442284208225689,5,150,0,100000
8,0.33540784927332923,0.6150240343223761,120,150,0,100000
9,0.6225194321960902,0.8852640797373716,145,150,0,100000
10,0.4381414261088741,0.976553020407678,120,150,0,100000
11,0.7358821063486902,0.8369085929071826,70,150,0,100000
12,0.5180364119992688,0.1808246260859393,85,150,0,100000
13,0.5788586002261571,0.6184105084545883,20,150,0,100000
14,0.6453550958955938,0.47610887327334417,30,150,0,100000
15,0.9902242713734164,0.4041566546727281,20,150,0,100000
16,0.8198581969218414,0.7418836875490091,70,150,0,100000
17,0.4132009348161808,0.8259332891691836,15,150,0,100000
18,0.8762676552066274,0.6832298304876416,65,150,0,100000
19,0.8237594325705213,0.1392716054909724,20,150,0,100000
20,0.054474507822354634,0.7028250573984112,75,150,0,100000
21,0.7186372365641943,0.05883729016413808,105,150,0,100000
22,0.8021705624244754,0.19266547475121587,130,150,0,100000
23,0.7364066438114389,0.9247937649551963,5,150,0,100000
24,0.7091317507811673,0.40510245736399164,45,150,0,100000
25,0.5409368543025281,0.1482915326009432,35,150,0,100000
26,0.12482417438060978,0.6822871306745838,20,150,0,100000
27,0.9576472954696684,0.16348875076461844,95,150,0,100000
28,0.40325629873491986,0.6482252410665106,10,150,0,100000
29,0.2169511603235601,0.25161414317047803,115,150,0,100000
30,0.7172758464533194,0.04137550130090173,45,150,0,100000
31,0.9942074384219376,0.9587226003159738,125,150,0,100000
32,0.25561405560083506,0.06622048081343157,50,150,0,100000
33,0.6713094319392804,0.5129401860856384,5,150,0,100000
34,0.5990059131391166,0.34129659121992095,40,150,0,100000
35,0.7173321455555131,0.6600098186453978,115,150,0,100000
36,0.9373495346449046,0.8444273371187893,85,150,0,100000
37,0.35180976853970203,0.6038665567071057,90,150,0,100000
38,0.253634097471396,0.5872136909757353,45,150,0,100000
39,0.402472509036773,0.11703303553464184,30,150,0,100000
40,0.746510717184985,0.7104503354427769,75,150,0,100000
41,0.7240705674116883,0.2045232578451328,130,150,0,100000
42,0.4061077960583893,0.4903677932571596,65,150,0,100000
43,0.9893798482800024,0.036608530436010756,125,150,0,100000
44,0.450499280745166,0.31540357558877097,70,150,0,100000
45,0.3738084341003529,0.8630304070993419,30,150,0,100000
46,0.7096286061692021,0.5584666182241689,50,150,0,100000
47,0.08245855331170848,0.5467078262764856,145,150,0,100000
48,0.3983729188112832,0.3678246589341122,10,150,0,100000
49,0.7708809663078797,0.8281566850989471,65,150,0,100000
50,0.7647509835004671,0.27635045943263903,10,150,0,100000
