index,initialPosition,maxCapacity,speed
0,0,100,70
1,0,100,70
2,0,100,70
3,0,100,70
4,0,100,70
5,0,100,70
6,0,100,70
7,0,100,70
8,0,100,70
9,0,100,70
10,0,100,70
11,0,100,70
12,0,100,70
13,0,100,70
14,0,100,70
15,0,100,70
16,0,100,70
17,0,100,70
18,0,100,70
19,0,100,70
20,0,100,70
21,0,100,70
22,0,100,70
23,0,100,70
24,0,100,70
25,0,100,70
26,0,100,70
27,0,100,70
28,0,100,70
29,0,100,70
30,0,100,70
31,0,100,70
32,0,100,70
33,0,100,70
34,0,100,70
35,0,100,70
36,0,100,70
37,0,100,70
38,0,100,70
39,0,100,70
40,0,100,70
41,0,100,70
42,0,100,70
43,0,100,70
44,0,100,70
45,0,100,70
46,0,100,70
47,0,100,70
48,0,100,70
49,0,100,70
